1 1690881231 7,807785 1 7,807785 7,807785 7,807785
2 1690881231 56,978118 1 56,978118 56,978118 56,978118
3 1690881231 0,057609 1 0,057609 0,057609 0,057609
1 1690881236 99,218764 1 99,218764 99,218764 99,218764
2 1690881236 58,123538 1 58,123538 58,123538 58,123538
3 1690881236 7,703098 1 7,703098 7,703098 7,703098
1 1690881241 99,921924 1 99,921924 99,921924 99,921924
2 1690881241 58,987768 1 58,987768 58,987768 58,987768
3 1690881241 13,243537 1 13,243537 13,243537 13,243537
1 1690881246 100,000000 1 100,000000 100,000000 100,000000
2 1690881246 59,708640 1 59,708640 59,708640 59,708640
3 1690881246 12,434215 1 12,434215 12,434215 12,434215
1 1690881251 100,000000 1 100,000000 100,000000 100,000000
2 1690881251 59,833769 1 59,833769 59,833769 59,833769
3 1690881251 11,796016 1 11,796016 11,796016 11,796016
1 1690881256 99,921878 1 99,921878 99,921878 99,921878
2 1690881256 59,883301 1 59,883301 59,883301 59,883301
3 1690881256 10,117860 1 10,117860 10,117860 10,117860
1 1690881261 100,000000 1 100,000000 100,000000 100,000000
2 1690881261 60,085718 1 60,085718 60,085718 60,085718
3 1690881261 11,640122 1 11,640122 11,640122 11,640122
1 1690881266 100,000000 1 100,000000 100,000000 100,000000
2 1690881266 60,113185 1 60,113185 60,113185 60,113185
3 1690881266 10,758649 1 10,758649 10,758649 10,758649
1 1690881271 100,000000 1 100,000000 100,000000 100,000000
2 1690881271 60,266070 1 60,266070 60,266070 60,266070
3 1690881271 8,495381 1 8,495381 8,495381 8,495381
1 1690881276 100,000000 1 100,000000 100,000000 100,000000
2 1690881276 60,384229 1 60,384229 60,384229 60,384229
3 1690881276 8,587657 1 8,587657 8,587657 8,587657
1 1690881305 99,986472 1 99,986472 99,986472 99,986472
2 1690881305 60,813230 1 60,813230 60,813230 60,813230
3 1690881305 9,982544 1 9,982544 9,982544 9,982544
1 1690881305 100,000000 1 100,000000 100,000000 100,000000
2 1690881305 60,652633 1 60,652633 60,652633 60,652633
3 1690881305 46,786521 1 46,786521 46,786521 46,786521
1 1690881306 94,265061 1 94,265061 94,265061 94,265061
2 1690881306 60,420893 1 60,420893 60,420893 60,420893
3 1690881306 13,827578 1 13,827578 13,827578 13,827578
