12 1690881231 0,000300 38606 0,000300 0,000300 0,000300
14 1690881231 0,000102 10 0,000102 0,000102 0,000102
12 1690881236 0,000381 40854 0,000381 0,000381 0,000381
12 1690881241 0,000624 24764 0,000624 0,000624 0,000624
12 1690881246 0,000566 27812 0,000566 0,000566 0,000566
12 1690881251 0,000590 26792 0,000590 0,000590 0,000590
12 1690881256 0,000612 26086 0,000612 0,000612 0,000612
12 1690881261 0,000613 24834 0,000613 0,000613 0,000613
12 1690881266 0,000605 25953 0,000605 0,000605 0,000605
12 1690881271 0,000632 24554 0,000632 0,000632 0,000632
12 1690881276 0,000604 15635 0,000604 0,000604 0,000604
17 1690881306 0,000014 10 0,000014 0,000014 0,000014
12 1690881301 0,000741 22502 0,000741 0,000741 0,000741
12 1690881306 0,000388 1263 0,000388 0,000388 0,000388
