10 1690881231 38606,000000 -1 38606,000000 38606,000000 38606,000000
13 1690881231 10,000000 -1 10,000000 10,000000 10,000000
10 1690881236 40854,000000 -1 40854,000000 40854,000000 40854,000000
10 1690881241 24764,000000 -1 24764,000000 24764,000000 24764,000000
10 1690881246 27812,000000 -1 27812,000000 27812,000000 27812,000000
10 1690881251 26792,000000 -1 26792,000000 26792,000000 26792,000000
10 1690881256 26086,000000 -1 26086,000000 26086,000000 26086,000000
10 1690881261 24834,000000 -1 24834,000000 24834,000000 24834,000000
10 1690881266 25953,000000 -1 25953,000000 25953,000000 25953,000000
10 1690881271 24554,000000 -1 24554,000000 24554,000000 24554,000000
10 1690881276 15635,000000 -1 15635,000000 15635,000000 15635,000000
16 1690881306 10,000000 -1 10,000000 10,000000 10,000000
10 1690881301 22502,000000 -1 22502,000000 22502,000000 22502,000000
10 1690881306 1263,000000 -1 1263,000000 1263,000000 1263,000000
