8 1690881259 0,000000 1 0,000000 0,000000 0,000000
9 1690881259 2,000000 1 2,000000 2,000000 2,000000
6 1690881260 10,000000 1 10,000000 10,000000 10,000000
7 1690881260 0,000000 1 0,000000 0,000000 0,000000
8 1690881260 0,000000 1 0,000000 0,000000 0,000000
9 1690881260 2,000000 1 2,000000 2,000000 2,000000
6 1690881261 10,000000 1 10,000000 10,000000 10,000000
7 1690881261 0,000000 1 0,000000 0,000000 0,000000
8 1690881261 0,000000 1 0,000000 0,000000 0,000000
9 1690881261 2,000000 1 2,000000 2,000000 2,000000
6 1690881262 10,000000 1 10,000000 10,000000 10,000000
7 1690881262 0,000000 1 0,000000 0,000000 0,000000
8 1690881262 0,000000 1 0,000000 0,000000 0,000000
9 1690881262 2,000000 1 2,000000 2,000000 2,000000
6 1690881263 10,000000 1 10,000000 10,000000 10,000000
7 1690881263 0,000000 1 0,000000 0,000000 0,000000
8 1690881263 0,000000 1 0,000000 0,000000 0,000000
9 1690881263 2,000000 1 2,000000 2,000000 2,000000
6 1690881264 10,000000 1 10,000000 10,000000 10,000000
7 1690881264 0,000000 1 0,000000 0,000000 0,000000
8 1690881264 0,000000 1 0,000000 0,000000 0,000000
9 1690881264 2,000000 1 2,000000 2,000000 2,000000
6 1690881265 10,000000 1 10,000000 10,000000 10,000000
7 1690881265 0,000000 1 0,000000 0,000000 0,000000
8 1690881265 0,000000 1 0,000000 0,000000 0,000000
9 1690881265 2,000000 1 2,000000 2,000000 2,000000
6 1690881266 10,000000 1 10,000000 10,000000 10,000000
7 1690881266 0,000000 1 0,000000 0,000000 0,000000
8 1690881266 0,000000 1 0,000000 0,000000 0,000000
9 1690881266 2,000000 1 2,000000 2,000000 2,000000
6 1690881267 10,000000 1 10,000000 10,000000 10,000000
7 1690881267 0,000000 1 0,000000 0,000000 0,000000
8 1690881267 0,000000 1 0,000000 0,000000 0,000000
9 1690881267 2,000000 1 2,000000 2,000000 2,000000
6 1690881268 10,000000 1 10,000000 10,000000 10,000000
7 1690881268 0,000000 1 0,000000 0,000000 0,000000
8 1690881268 0,000000 1 0,000000 0,000000 0,000000
9 1690881268 2,000000 1 2,000000 2,000000 2,000000
6 1690881269 10,000000 1 10,000000 10,000000 10,000000
7 1690881269 0,000000 1 0,000000 0,000000 0,000000
8 1690881269 0,000000 1 0,000000 0,000000 0,000000
9 1690881269 2,000000 1 2,000000 2,000000 2,000000
6 1690881270 10,000000 1 10,000000 10,000000 10,000000
7 1690881270 0,000000 1 0,000000 0,000000 0,000000
8 1690881270 0,000000 1 0,000000 0,000000 0,000000
9 1690881270 2,000000 1 2,000000 2,000000 2,000000
6 1690881271 10,000000 1 10,000000 10,000000 10,000000
7 1690881271 0,000000 1 0,000000 0,000000 0,000000
8 1690881271 0,000000 1 0,000000 0,000000 0,000000
9 1690881271 2,000000 1 2,000000 2,000000 2,000000
6 1690881272 10,000000 1 10,000000 10,000000 10,000000
7 1690881272 0,000000 1 0,000000 0,000000 0,000000
8 1690881272 0,000000 1 0,000000 0,000000 0,000000
9 1690881272 2,000000 1 2,000000 2,000000 2,000000
6 1690881273 10,000000 1 10,000000 10,000000 10,000000
7 1690881273 0,000000 1 0,000000 0,000000 0,000000
8 1690881273 0,000000 1 0,000000 0,000000 0,000000
9 1690881273 2,000000 1 2,000000 2,000000 2,000000
